2 ==> 1 #SUP: 620 #CONF: 0.41333
1 ==> 2 #SUP: 620 #CONF: 0.46442
5 ==> 2 #SUP: 1181 #CONF: 0.3131
2 ==> 5 #SUP: 1181 #CONF: 0.78733
6 ==> 5 #SUP: 1991 #CONF: 1
5 ==> 6 #SUP: 1991 #CONF: 0.52784
7 ==> 5 #SUP: 717 #CONF: 1
9 ==> 5 #SUP: 769 #CONF: 1
5 ==> 9 #SUP: 769 #CONF: 0.20387
13 ==> 5 #SUP: 1363 #CONF: 1
5 ==> 13 #SUP: 1363 #CONF: 0.36135
16 ==> 5 #SUP: 561 #CONF: 1
18 ==> 5 #SUP: 1159 #CONF: 1
5 ==> 18 #SUP: 1159 #CONF: 0.30726
20 ==> 5 #SUP: 688 #CONF: 0.57864
21 ==> 5 #SUP: 666 #CONF: 0.72
50 ==> 5 #SUP: 539 #CONF: 1
58 ==> 5 #SUP: 752 #CONF: 1
7 ==> 6 #SUP: 717 #CONF: 1
6 ==> 7 #SUP: 717 #CONF: 0.36012
9 ==> 6 #SUP: 769 #CONF: 1
6 ==> 9 #SUP: 769 #CONF: 0.38624
13 ==> 6 #SUP: 663 #CONF: 0.48643
6 ==> 13 #SUP: 663 #CONF: 0.333
18 ==> 6 #SUP: 1159 #CONF: 1
6 ==> 18 #SUP: 1159 #CONF: 0.58212
16 ==> 13 #SUP: 561 #CONF: 1
13 ==> 16 #SUP: 561 #CONF: 0.41159
50 ==> 13 #SUP: 539 #CONF: 1
13 ==> 50 #SUP: 539 #CONF: 0.39545
163 ==> 20 #SUP: 677 #CONF: 1
20 ==> 163 #SUP: 677 #CONF: 0.56939
6 7 ==> 5 #SUP: 717 #CONF: 1
5 7 ==> 6 #SUP: 717 #CONF: 1
5 6 ==> 7 #SUP: 717 #CONF: 0.36012
7 ==> 5 6 #SUP: 717 #CONF: 1
6 ==> 5 7 #SUP: 717 #CONF: 0.36012
6 9 ==> 5 #SUP: 769 #CONF: 1
5 9 ==> 6 #SUP: 769 #CONF: 1
5 6 ==> 9 #SUP: 769 #CONF: 0.38624
9 ==> 5 6 #SUP: 769 #CONF: 1
6 ==> 5 9 #SUP: 769 #CONF: 0.38624
5 ==> 6 9 #SUP: 769 #CONF: 0.20387
6 13 ==> 5 #SUP: 663 #CONF: 1
5 13 ==> 6 #SUP: 663 #CONF: 0.48643
5 6 ==> 13 #SUP: 663 #CONF: 0.333
13 ==> 5 6 #SUP: 663 #CONF: 0.48643
6 ==> 5 13 #SUP: 663 #CONF: 0.333
6 18 ==> 5 #SUP: 1159 #CONF: 1
5 18 ==> 6 #SUP: 1159 #CONF: 1
5 6 ==> 18 #SUP: 1159 #CONF: 0.58212
18 ==> 5 6 #SUP: 1159 #CONF: 1
6 ==> 5 18 #SUP: 1159 #CONF: 0.58212
5 ==> 6 18 #SUP: 1159 #CONF: 0.30726
13 16 ==> 5 #SUP: 561 #CONF: 1
5 16 ==> 13 #SUP: 561 #CONF: 1
5 13 ==> 16 #SUP: 561 #CONF: 0.41159
16 ==> 5 13 #SUP: 561 #CONF: 1
13 ==> 5 16 #SUP: 561 #CONF: 0.41159
13 50 ==> 5 #SUP: 539 #CONF: 1
5 50 ==> 13 #SUP: 539 #CONF: 1
5 13 ==> 50 #SUP: 539 #CONF: 0.39545
50 ==> 5 13 #SUP: 539 #CONF: 1
13 ==> 5 50 #SUP: 539 #CONF: 0.39545
